hanja	hangul	require_hanja	require_hangul
半쪼갱이	반쪼갱이	false	false
半착	반착	false	false
半천	반천	false	false
半침	반침	false	false
半타다	반타다	false	false
半태작	반태작	false	false
半태작하다	반태작하다	false	false
半텀	반텀	false	false
半투다	반투다	false	false
半튼	반튼	false	false
半틈	반틈	false	false
半펜	반펜	false	false
半펭상	반펭상	false	false
半펭이	반펭이	false	false
半평상	반평상	false	false
半피	반피	false	false
半피이	반피이	false	false
半핀	반핀	false	false
半핑이	반핑이	false	false
卒개지	졸개지	false	false
卒테기	졸테기	false	false
卒텡기	졸텡기	false	false
南北사니	남북사니	false	false
南極老星	남극노성	false	false
南西쪽	남서쪽	false	false
南감자	남감자	false	false
南바리	남바리	false	false
南쭉	남쭉	false	false
卜術이	복술이	false	false
占바지	점바지	false	false
占자이	점자이	false	false
占재	점재	false	false
占재이	점재이	false	false
占지개	점지개	false	false
厄塔	액탑	false	false
厄그럭	액그럭	false	false
厄막음	액막음	false	false
厄맥이	액맥이	false	false
厄맥이鳶	액맥이연	false	false
厄맥이굿	액맥이굿	false	false
厚朴낭	후박낭	false	false
原土백이	원토백이	false	false
原豆콩	원두콩	false	false
原갓	원갓	false	false
原남펜	원남펜	false	false
原둥거리	원둥거리	false	false
原성제	원성제	false	false
原아덜	원아덜	false	false
原아방	원아방	false	false
原어멍	원어멍	false	false
口錢꾼	구전꾼	false	false
古木낭그	고목낭그	false	false
古物데기	고물데기	false	false
古物디기	고물디기	false	false
古談이얘기	고담이얘기	false	false
只今껀	지금껀	false	false
只今끈	지금끈	false	false
只今끗	지금끗	false	false
可當챊다	가당챊다	false	false
可笑룹다	가소룹다	false	false
可笑이	가소이	false	false
可笑하다	가소하다	false	false
右쪽	우쪽	false	false
各姓붙이	각성붙이	false	false
各數	각수	false	false
各盤	각반	false	false
合치쿠다	합치쿠다	false	false
同學기	동학기	false	false
同生宅	동생댁	false	false
同甲同生	동갑동생	false	false
同甲걸림	동갑걸림	false	false
同甲세이	동갑세이	false	false
同窓헤	동창헤	false	false
名指손구락	명지손구락	false	false
咸興채사	함흥채사	false	false
唐喇叭	당나발	false	false
唐각	당각	false	false
唐나구이	당나구이	false	false
唐나기	당나기	false	false
唐내귀	당내귀	false	false
唐내기	당내기	false	false
唐추새	당추새	false	false
唐추재	당추재	false	false
唐추지	당추지	false	false
啄木새	탁목새	false	false
啄鳥	탁조	false	false
商會집	상횟집	false	false
問題엄따	문제엄따	false	false
問題엄시	문제엄시	false	false
喇叭담배	나팔담배	false	false
喎斜症	와사증	false	false
喎斜風	와사풍	false	false
喪內	상내	false	false
喪巾	상건	false	false
喪布기	상포기	false	false
喪布쌀	상포쌀	false	false
喪幕	상막	false	false
喪꾼	상꾼	false	false
喪디	상디	false	false
喪옷	상옷	false	false
單동무느	단동무느	false	false
單동사리	단동사리	false	false
單배기	단배기	false	false
單불	단불	false	false
單살림	단살림	false	false
單손데	단손데	false	false
單주우	단주우	false	false
單중우	단중우	false	false
單지	단지	false	false
噓風산	허풍산	false	false
四方鳶	사방연	false	false
四方디	사방디	false	false
四柱단재	사주단재	false	false
四柱옷감	사주옷감	false	false
四柱팔재	사주팔재	false	false
四갈래길	사갈래길	false	false
四모板	사모판	false	false
四무말	사무말	false	false
四무지다	사무지다	false	false
四발이	사발이	false	false
回甲잔체	회갑잔체	false	false
困窮시룹다	곤궁시룹다	false	false
固執배이	고집배이	false	false
固執시룹다	고집시룹다	false	false
固執재	고집재	false	false
固執재이	고집재이	false	false
固執테	고집테	false	false
固執티이	고집티이	false	false
固執패기	고집패기	false	false
圖章木	도장목	false	false
圖章낭그	도장낭그	false	false
圖章밥	도장밥	false	false
圖章버듬	도장버듬	false	false
圖章버딤	도장버딤	false	false
圖章버짐	도장버짐	false	false
土役재이	토역재이	false	false
土役질	토역질	false	false
土房	토방	false	false
土房寢	토방침	false	false
土房독	토방독	false	false
土手재이	토수재이	false	false
土種무꾸	토종무꾸	false	false
土種무수	토종무수	false	false
土種무시	토종무시	false	false
土고리	토고리	false	false
土구리	토구리	false	false
土백이	토백이	false	false
土벡	토벡	false	false
在來種무시	재래종무시	false	false
地境살이	지경살이	false	false
地枋돌	지방돌	false	false
地枋밋	지방밋	false	false
堂山神	당산신	false	false
堂사춘	당사춘	false	false
堂터	당터	false	false
報갚이	보갚이	false	false
場같	장같	false	false
場골배이	장골배이	false	false
場금세	장금세	false	false
場길	장길	false	false
場돌배이	장돌배이	false	false
場돌비이	장돌비이	false	false
場바구리	장바구리	false	false
場바구미	장바구미	false	false
場테	장테	false	false
塗褙재이	도배재이	false	false
境遇지다	경우지다	false	false
墓둥지	묘둥지	false	false
墓등	묫등	false	false
壁대기	벽대기	false	false
壁뙈기	벽뙈기	false	false
壁작	벽작	false	false
壅固執다리	옹고집다리	false	false
壅固執텡이	옹고집텡이	false	false
壅固執통이	옹고집통이	false	false
壅固執툉이	옹고집툉이	false	false
壯談치다	장담치다	false	false
壻君	서군	false	false
壽맥이	수맥이	false	false
夏至감자	하지감자	false	false
夏至감재	하지감재	false	false
夏至고구마	하지고구마	false	false
夏至마	하지마	false	false
夕陽녁	석양녁	false	false
外便所	외변소	false	false
外동세	외동세	false	false
外때기	외때기	false	false
外맏아배	외맏아배	false	false
外사춘	외사춘	false	false
外삼천	외삼천	false	false
外삼춘	외삼춘	false	false
外손네	외손네	false	false
外손지	외손지	false	false
外손지딸	외손지딸	false	false
外아재	외아재	false	false
外아제	외아제	false	false
外치	외치	false	false
外칙	외칙	false	false
外택	외택	false	false
外하나쎄	외하나쎄	false	false
外하나씨	외하나씨	false	false
外하내	외하내	false	false
外하네	외하네	false	false
外하라씨	외하라씨	false	false
外한아버지	외한아버지	false	false
外한아비	외한아비	false	false
外한애비	외한애비	false	false
外할마니	외할마니	false	false
外할마이	외할마이	false	false
外할매	외할매	false	false
外할머이	외할머이	false	false
外할멈	외할멈	false	false
外할무니	외할무니	false	false
外할무이	외할무이	false	false
外할배	외할배	false	false
外할아바이	외할아바이	false	false
外할아부지	외할아부지	false	false
外할압지	외할압지	false	false
外할어버이	외할어버이	false	false
外할으버이	외할으버이	false	false
外할으버지	외할으버지	false	false
外함니	외함니	false	false
外함머니	외함머니	false	false
外함쎄	외함쎄	false	false
外함씨	외함씨	false	false
外핼애비	외핼애비	false	false
多情시리	다정시리	false	false
多福시리	다복시리	false	false
夜巡幕	야순막	false	false
夜핵고	야핵고	false	false
夜화	야화	false	false
大升	대승	false	false
大口뽈	대구뽈	false	false
大口뽈湯	대구뽈탕	false	false
大口뽈찜	대구뽈찜	false	false
大口헤	대구헤	false	false
大國콩	대국콩	false	false
大學상	대학상	false	false
大木쟁이	대목쟁이	false	false
大水지다	대수지다	false	false
大洑둑	대봇둑	false	false
大疫	대역	false	false
大砲꾼	대포꾼	false	false
大膽시리	대담시리	false	false
大蒜이	대산이	false	false
大蒜이대	대산이대	false	false
大蒜잇대	대산잇대	false	false
大處벌	대처벌	false	false
大門째기	대문째기	false	false
大간절	대간절	false	false
大걱정	대걱정	false	false
大달피	대달피	false	false
大덜포	대덜포	false	false
大들포	대들포	false	false
大보롬	대보롬	false	false
大보룸	대보룸	false	false
大비나	대비나	false	false
大새비	대새비	false	false
大수가	대수가	false	false
大실보	대실보	false	false
大자구	대자구	false	false
大전에	대전에	false	false
大조개	대조개	false	false
大짜배이	대짜배이	false	false
大체	대체	false	false
大핵고	대핵고	false	false
大핵교	대핵교	false	false
天下雜눔	천하잡눔	false	false
天下雜늠	천하잡늠	false	false
天下엄써두	천하엄써두	false	false
天下움써두	천하움써두	false	false
天下웂어두	천하웂어두	false	false
天下음써두	천하음써두	false	false
天下읎어두	천하읎어두	false	false
天出	천출	false	false
天地萬地	천지만지	false	false
天地삐까리	천지삐까리	false	false
天水奉畓	천수봉답	false	false
天然덕시럽다	천연덕시럽다	false	false
天然덕시리	천연덕시리	false	false
天疾	천질	false	false
天障베기코	천장베기코	false	false
天障뿔	천장뿔	false	false
天없다	천없다	false	false
太廳	태청	false	false
太水	태수	false	false
夾戶살이	협호살이	false	false
契갈이	계갈이	false	false
契군	계군	false	false
奢侈시롭다	사치시롭다	false	false
女息아	여식아	false	false
女息애	여식애	false	false
女동상	여동상	false	false
女동새	여동새	false	false
女동숭	여동숭	false	false
女조캐	여조캐	false	false
女조케	여조케	false	false
奸詐시룹다	간사시룹다	false	false
如干내이	여간내이	false	false
妓生오래비	기생오래비	false	false
妖妄다리	요망다리	false	false
妖妄시룹다	요망시룹다	false	false
妖妄쟁이	요망쟁이	false	false
妖빈닥	요빈닥	false	false
妻嫂	처수	false	false
妻家칩	처가칩	false	false
妻사춘	처사춘	false	false
妻삼춘	처삼춘	false	false
妻조캐	처조캐	false	false
妻하르방	처하르방	false	false
妻할망	처할망	false	false
妾데기살림	첩데기살림	false	false
妾데기살이	첩데기살이	false	false
妾데기장개	첩데기장개	false	false
妾디기	첩디기	false	false
妾디기살림	첩디기살림	false	false
妾디기살이	첩디기살이	false	false
妾디기장개	첩디기장개	false	false
妾사이	첩사이	false	false
妾생이	첩생이	false	false
妾어미	첩어미	false	false
妾장개	첩장개	false	false
始作다	시작다	false	false
始發初	시발초	false	false
姑從사춘	고종사춘	false	false
姑從소촌	고종소촌	false	false
姑從소춘	고종소춘	false	false
姑母보	고모보	false	false
姑母사춘	고모사춘	false	false
姑母아재	고모아재	false	false
姑母아지매	고모아지매	false	false
姓준아방	성준아방	false	false
姨從사춘	이종사춘	false	false
姨從소촌	이종소촌	false	false
姨從소춘	이종소춘	false	false
姪	질	false	false
娘閨	낭규	false	false
婚事가음	혼삿가음	false	false
婚事감	혼사감	false	false
婚事옷감	혼사옷감	false	false
婚姻옷감	혼인옷감	false	false
婚姻줄	혼인줄	false	false
婚需가슴	혼숫가슴	false	false
婚需가음	혼숫가음	false	false
婚需감	혼수감	false	false
婚需옷	혼수옷	false	false
婚需옷감	혼수옷감	false	false
婚需홍전	혼수홍전	false	false
婚需흥정	혼수흥정	false	false
婚감	혼감	false	false
婦人벵	부인벵	false	false
媒約하다	매약하다	false	false
媤叔님	시숙님	false	false
媤妹	시매	false	false
媤家집	시갓집	false	false
媤가령	시가령	false	false
媤공구	시공구	false	false
媤누님	시누님	false	false
媤누애씨	시누애씨	false	false
媤눌게	시눌게	false	false
媤뉘비	시뉘비	false	false
媤느부	시느부	false	false
媤느비	시느비	false	false
媤도령	시도령	false	false
媤동상	시동상	false	false
媤동새	시동새	false	false
媤삼춘	시삼춘	false	false
媤아바니	시아바니	false	false
媤아바씨	시아바씨	false	false
媤아바이	시아바이	false	false
媤아바임	시아바임	false	false
媤아바지	시아바지	false	false
媤아배	시아배	false	false
媤아버니	시아버니	false	false
媤아버이	시아버이	false	false
媤아범	시아범	false	false
媤아부니	시아부니	false	false
媤아부님	시아부님	false	false
媤아부이	시아부이	false	false
媤아부지	시아부지	false	false
媤아씨	시아씨	false	false
媤아이	시아이	false	false
媤아자	시아자	false	false
媤아재님	시아재님	false	false
媤아저비	시아저비	false	false
媤아제비	시아제비	false	false
媤아좀	시아좀	false	false
媤아주방이	시아주방이	false	false
媤아주버이	시아주버이	false	false
媤아주번님	시아주번님	false	false
媤아즈바이	시아즈바이	false	false
媤아즈버니	시아즈버니	false	false
媤아지반님	시아지반님	false	false
媤아지방	시아지방	false	false
媤아지뱀	시아지뱀	false	false
媤아지베	시아지베	false	false
媤아지베이	시아지베이	false	false
媤압새	시압새	false	false
媤압시	시압시	false	false
媤애끼	시애끼	false	false
媤애비	시애비	false	false
媤어마니	시어마니	false	false
媤어마씨	시어마씨	false	false
媤어마이	시어마이	false	false
媤어마임	시어마임	false	false
媤어매	시어매	false	false
媤어매이	시어매이	false	false
媤어머이	시어머이	false	false
媤어메	시어메	false	false
媤어무니	시어무니	false	false
媤어므니	시어므니	false	false
媤엄니	시엄니	false	false
媤엄씨	시엄씨	false	false
媤에미	시에미	false	false
媤오마니	시오마니	false	false
媤이미	시이미	false	false
媤적	시적	false	false
媤직	시직	false	false
媤하르바이	시하르바이	false	false
媤할마이	시할마이	false	false
子매방아	자매방아	false	false
季父님	계부님	false	false
孫주메누리	손주메누리	false	false
孫주미누리	손주미누리	false	false
學夫人	학부인	false	false
安全멘도기	안전멘도기	false	false
